time_s,raw_roll_deg,raw_pitch_deg,filtered_roll_deg,filtered_pitch_deg,command_roll_deg,command_pitch_deg
0.0,1.188284993171692,-0.040516000241041183,1.1784926652908325,-0.03855111077427864,0.0,0.0
0.0015480518341064453,1.1898789405822754,-0.04239300265908241,1.1781564950942993,-0.03840143233537674,0.0,0.0
0.02450394630432129,1.185696005821228,-0.03770099952816963,1.178861141204834,-0.03834892436861992,0.0,0.0
0.07072830200195312,1.1888070106506348,-0.03595700114965439,1.1804933547973633,-0.03840749338269234,0.0,0.0
0.0815577507019043,1.1927900314331055,-0.03384999930858612,1.1826428174972534,-0.03832646831870079,0.0,0.0
0.11950016021728516,1.1962989568710327,-0.031557001173496246,1.1846556663513184,-0.03781775385141373,0.0,0.0
0.14114832878112793,1.2020660638809204,-0.030800001695752144,1.186774730682373,-0.03685656562447548,0.0,0.0
0.16890907287597656,1.1997560262680054,-0.03044399991631508,1.1890668869018555,-0.03577282279729843,0.0,0.0
0.20302987098693848,1.1987000703811646,-0.03622199967503548,1.191280722618103,-0.03497326746582985,0.0,0.0
0.21622943878173828,1.1951680183410645,-0.0365229994058609,1.193060040473938,-0.034507252275943756,0.0,0.0
0.2404947280883789,1.1922260522842407,-0.034515999257564545,1.1941908597946167,-0.03430568799376488,0.0,0.0
0.25653076171875,1.1904280185699463,-0.03472699970006943,1.1944570541381836,-0.03435086831450462,0.0,0.0
0.2856473922729492,1.187723994255066,-0.029743999242782593,1.1940550804138184,-0.034349750727415085,0.0,0.0
0.30239129066467285,1.1832489967346191,-0.028633004054427147,1.1929810047149658,-0.0339694619178772,0.0,0.0
0.32295703887939453,1.1832959651947021,-0.03203200176358223,1.1915819644927979,-0.03345969691872597,0.0,0.0
0.33541321754455566,1.1816699504852295,-0.03146199882030487,1.190004825592041,-0.032924674451351166,0.0,0.0
0.34187889099121094,1.179648995399475,-0.031214000657200813,1.1882829666137695,-0.03234775364398956,0.0,0.0
0.36141109466552734,1.177233099937439,-0.03044700250029564,1.1864670515060425,-0.0319502167403698,0.0,0.0
0.37551259994506836,1.1747239828109741,-0.03034200146794319,1.1846789121627808,-0.03173751384019852,0.0,0.0
0.39218807220458984,1.1743760108947754,-0.032575998455286026,1.182891845703125,-0.03160518407821655,0.0,0.0
0.3994472026824951,1.1754299402236938,-0.0350629985332489,1.1812394857406616,-0.03168598935008049,0.0,0.0
0.4175224304199219,1.1790350675582886,-0.034961000084877014,1.1799695491790771,-0.03193394094705582,0.0,0.0
0.4236288070678711,1.1782360076904297,-0.032653000205755234,1.1790671348571777,-0.032230205833911896,0.0,0.0
0.44197916984558105,1.179934024810791,-0.035743001848459244,1.178650975227356,-0.03272245451807976,0.0,0.0
0.4566805362701416,1.1800141334533691,-0.03733000159263611,1.17862069606781,-0.03332934156060219,0.0,0.0
0.4635026454925537,1.1796931028366089,-0.03759099915623665,1.1788110733032227,-0.03391090780496597,0.0,0.0
0.47890758514404297,1.1799190044403076,-0.036414001137018204,1.1789981126785278,-0.03441973030567169,0.0,0.0
0.5022375583648682,1.1806299686431885,-0.03781300038099289,1.179258108139038,-0.03505934774875641,0.0,0.0
0.5167257785797119,1.1776269674301147,-0.03697500377893448,1.179337739944458,-0.03560066223144531,0.0,0.0
0.5428528785705566,1.1754790544509888,-0.03616899996995926,1.1791707277297974,-0.03594859689474106,0.0,0.0
0.5476992130279541,1.1703720092773438,-0.03444800153374672,1.1785794496536255,-0.0360523983836174,0.0,0.0
0.5646531581878662,1.17165207862854,-0.034769002348184586,1.1777225732803345,-0.03604799881577492,0.0,0.0
0.5877470970153809,1.1718170642852783,-0.030321000143885612,1.1766393184661865,-0.035670097917318344,0.0,0.0
0.6008718013763428,1.1745811700820923,-0.029128002002835274,1.175674557685852,-0.034994322806596756,0.0,0.0
0.6077024936676025,1.1775519847869873,-0.02931799925863743,1.1750545501708984,-0.034144945442676544,0.0,0.0
0.644773006439209,1.1757479906082153,-0.028953999280929565,1.1748584508895874,-0.03323320671916008,0.0,0.0
0.648552417755127,1.1783740520477295,-0.029319001361727715,1.175047516822815,-0.032276906073093414,0.0,0.0
